"","text","created_at","lang"
"32","""..for love comes more naturally to the human heart than its opposite."" -Nelson Mandela

#RacismIsAVirus #Asian #AsianAmerican #IamNotCovid19 #BeCoolToAsians #HateIsAVirus #UnapologeticallyAsian #Solidarity #AAPI https://t.co/xyXu3fXzfV","2020-05-31T22:00:47.000Z","en"
"33","Last week our very own @Dianephelan was interviewed by Jesse Saywell from Rational Discourse Politics check out the full interview on their Facebook page. 
#RacismIsAVirus #Asian #AsianAmerican #IamNotCovid19 #BeCoolToAsians #HateIsAVirus #UnapologeticallyAsian #Solidarity #AAPI https://t.co/JO5A5nmQMg","2020-05-27T22:01:15.000Z","en"
"34","""CNN's Natasha Chen describes a hostile encounter with a beachgoer while reporting on location in Myrtle Beach, South Carolina.""
https://t.co/vlLU8nLFl8
#RacismIsAVirus #AsianAmerican #IamNotCovid19 #BeCoolToAsians #HateIsAVirus #UnapologeticallyAsian #Solidarity #CNN #News https://t.co/Jl2RFCjXs9","2020-05-26T22:01:19.000Z","en"
"35","NOTORIOUS MSG - COVID-19 RAP #notoriousmsg #thenotoriousmsg #WashTheHate #RacismIsAVirus #IAmNotCovid19 https://t.co/y6CKvnsqkj via @YouTube","2020-05-26T07:30:07.000Z","en"
"36","Face mask with matching headband, Adult floral face mask headb by SewNouveauxByLaura https://t.co/7aE8TaOlV7 via @Etsy #fashionfacemasks, #divafacemasks, #staysafe, #staywell, #iamnotcovid19, #pandemicmasks, #earsaverheadband, #nursesheadband, coronavirusmasks, #lockdown","2020-05-25T00:42:21.000Z","en"
"37","""Asian American doctors and nurses are fighting racism and the coronavirus -Washington Post

https://t.co/9Zx7xzVb5g

#RacismIsAVirus #Asian #AsianAmerican #IamNotCovid19 #BeCoolToAsians #HateIsAVirus #UnapologeticallyAsian #Solidarity #AAPI #Doctors #essentialworkers #healthcare https://t.co/C9JGkEpibE","2020-05-24T22:41:21.000Z","en"
"38","Hong Kong Fever shares a few thoughts about the recent COVID-19 anti-Asian backlash

#APAHM #COVID19 #chinatownstrong #supportchinatown #WashTheHate #RacismIsAVirus #IAmNotCovid19 #notoriousmsg #thenotoriousmsg https://t.co/GQ2jr8CLrw","2020-05-24T16:09:45.000Z","en"
"39","Wow @Walgreens staff fully endorses RACIST rant against man who is grieving his mother who passed from virus:  #WashTheHate, #RacismIsAVirus, #IAmNotCOVID19  @WalgreensNews @WAGSocialCare Guess where I no longer shop? https://t.co/PlJqtWkrKu","2020-05-22T23:34:44.000Z","en"
"40","Face mask with matching headband, face masks with button head  by SewNouveauxByLaura https://t.co/1aoAE65E6O via @Etsy #stayhealthyamerica, #staystrong, #weshallovercome, #iamnotcovid19, #alonetogether, #earsaverfeadband, #nursesheadband, #staywell, #washyourhands,","2020-05-22T16:11:31.000Z","en"
"41","So, what can Asians and allies do to stop COVID-19 anti-Asian discrimination? Visit link below ⬇️ 

https://t.co/4awfUrMSZA

#RacismIsAVirus #Asian #AsianAmerican #IamNotCovid19 #BeCoolToAsians #HateIsAVirus #UnapologeticallyAsian #Solidarity #AAPI #psychologytoday #psychology https://t.co/Y8KIiwbUKB","2020-05-21T22:00:57.000Z","en"
"42","TRUTH. 😂

#RacismIsAVirus #Asian #AsianAmerican #IamNotCovid19 #BeCoolToAsians #HateIsAVirus #UnapologeticallyAsian #Solidarity #AAPI https://t.co/6hAzpQb2v5","2020-05-20T22:00:59.000Z","en"
"43","Face mask with matching headband, face masks with button head  by SewNouveauxByLaura https://t.co/WRBbW1dI2S via @Etsy #staysafeamerica, #iamnotcovid19, #myquarantinelife, #keepyourgermstoyourself, #dontsharegerms, #pandemicmasks, #staywell, #staysafe, #covidmasks, #coronavirus","2020-05-20T02:43:40.000Z","en"
"44","Face mask with matching headband, Adult floral face mask headb by SewNouveauxByLaura https://t.co/Kaf91ZgC6A via @Etsy #staywellamerica, #staysafeamerica, #pandemicmasks, #covid19, #iamnotcovid19, #dontsharegerms, #washyourhands, #myquarantinelife","2020-05-19T01:08:08.000Z","en"
"45","Love over Hate any day ✊🏽
#RacismIsAVirus #Asian #AsianAmerican #IamNotCovid19 #BeCoolToAsians #HateIsAVirus #UnapologeticallyAsian #Solidarity #AAPI https://t.co/OuwgKbBIJo","2020-05-17T22:00:59.000Z","en"
"46","Adult face mask, watermelon face masks, reusable face masks, w by swampivorydesigns https://t.co/bYRhXSrVlZ via @Etsy #socialdistancing, #dontsharegerms, #staystrong, #staypositive, #staywell, #iamnotcovid19, #myquarantinelife, #washyourhands, #bekind, #pandemicmasks","2020-05-17T21:10:11.000Z","en"
"47","Face mask headband set, adult face mask, buttons ear saver hea by SewNouveauxByLaura https://t.co/mODCMY7oYe via @Etsy #stayhealthy, #dontsharegerms, #staywell, #staysafe, #iamnotcovid19, #staystrong, #pandemicmasks, #earsaverheadbands, #pandemicmasks","2020-05-17T19:36:36.000Z","en"
"48","Adult face mask, watermelon face masks, reusable face masks, w by swampivorydesigns https://t.co/ZbLLG8lI62 via @Etsy #stayhealthy, #dontsharegerms, #washyourhands, #socialdistancingqueen, #myquarantinelife, #iamnotcovid19, #staystrong, #funfacemasks","2020-05-17T16:58:10.000Z","en"
"49","Face mask with matching headband, Adult floral face mask headb by SewNouveauxByLaura https://t.co/E13Mo1zQ9o via @Etsy #staystrong, #copingwithcovid, #socialdistancing, #alonetogether, #maskie, #myquarantinelife, #iamnotcovid19, #hateisavirus, #facemasktime","2020-05-17T00:57:44.000Z","en"
"50","Face mask with matching headband, face masks with button head  by SewNouveauxByLaura https://t.co/V4mYTGhomq via @Etsy #staysafe, #staystrong, #hateisavirus, #iamnotcovid19, #maskmessages, #alonetogether, #maskie, #pandemicmasks, #bohomasks","2020-05-17T00:54:34.000Z","en"
"51","‘I Know You Chinese People’: Before #COVID-19, I would have wild-guessed “wet market” to be Pacific Northwest jargon for any Vancouver or Seattle grocery store with a leaky roof.

https://t.co/MX90YtVY8J

#WashTheHate #RacismIsAVirus #IAmNotCOVID19","2020-05-14T03:14:44.000Z","en"
"52","Don’t forget to tune in today @4:30PM EST
NBC Asian America to host a virtual Town Hall ""United Against Hate""

https://t.co/HiBbEmWAkS

#RacismIsAVirus #Asian #AsianAmerican #IamNotCovid19 #BeCoolToAsians #HateIsAVirus #UnapologeticallyAsian #Solidarity #AAPI #LeaSalonga https://t.co/sJRVBEFWGl","2020-05-13T17:01:37.000Z","en"
"53","Thanks @ZhouMarrian for having me be a part of this very important message on COVID-19 racism/xenophobia towards Asian Americans!

#IAmNotCOVID19 #WashTheHate https://t.co/vEAQEAFWFH","2020-05-11T14:30:36.000Z","en"
"54","@CorkyForSenate race ethnicity has nothing to do with the spread of the virus. racism is a true virus #iamnotavirus #myethnicityisnotavirus #iamnotcovid19","2020-05-10T14:47:04.000Z","en"
"55","#WashTheHate, #RacismIsAVirus and #IAmNotCovid19 are among the hashtags that popped up after a series of hate crimes against the Asian community were reported. These are due to the fact that many Asian Americans and Asian immigrants are fearful, not only because of Covid-19 but a","2020-05-07T16:01:11.000Z","en"
"56","Thank you for standing up to anti-Asian #Racism @jasoncwong! #RacismisAVirus #HateIsAVirus #IAmNotCOVID19 https://t.co/l73s490kSI","2020-05-04T18:17:43.000Z","en"
"57","During these unprecedented times, we need to be unified and increase social connectivity.  

Here is our second video titled, “We are NOT Corona.” https://t.co/Hki7zSrTKI

#umassmed #HateIsaVirus, #iamnotavirus, #WashTheHate, #RacismIsAVirus, #IAmNotCOVID19 #SEACMA","2020-05-04T16:53:18.000Z","en"
"58","Happy to celebrate May 1 as the beginning of #AsianAmericanPacificIslanderHeritage month!  #RacismIsAVirus #HateisAVirus #IAmNotCOVID19 #BeCool2Asians⁠","2020-05-01T21:40:13.000Z","en"
"59","And one more thing -- support your local Asian businesses! #AsianHeritageMonth #IAmNotCOVID19 #RacismIsAVirus #WashYourHands #PracticeSocialDistancing #COVID19","2020-05-01T19:06:52.000Z","en"
"60","Also a reminder to PLEASE follow your local guidelines, #WashYourHands and #PracticeSocialDistancing. #IAmNotCOVID19 #RacismIsAVirus #AsianHeritageMonth #COVID19","2020-05-01T18:43:48.000Z","en"
"61","Happy #AsianHeritageMonth!

A reminder to non-#Asians around the world to PLEASE APPRECIATE US by NOT being #racist because of what happened in #China that led to #COVID19, and what I said is NOT about politics &amp; it SHOULDN'T be treated like it.

#IAmNotCOVID19 #RacismIsAVirus","2020-05-01T18:39:32.000Z","en"
"62","#IamNotAVirus #WashTheHate #RacismIsAVirus #IAmNotCOVID19 @nhartlep Click the 🔔 and subscribe so you don’t miss this 🔥 panel: https://t.co/w5JdEvspoB https://t.co/lMKe8V0iJQ","2020-05-01T17:19:56.000Z","en"
"63","@nhartlep follow me and tweet me https://t.co/Ta8nvAcXIc #COVID19  #WashTheHate #RacismIsAVirus #IAmNotCOVID19 https://t.co/w5JdEvspoB https://t.co/3jAhqXSxo8","2020-04-30T05:23:50.000Z","en"
"64","THANK YOU @VickyNguyenTV and @TODAYshow for amplifying this important issue that's affecting us all. When we all stand in solidarity, together we will be able to #WashTheHate.

#ActToChange #RacismIsAVirus #IAmNotCOVID19

https://t.co/L16ARdcMh4","2020-04-29T19:20:10.000Z","en"
"65","May 1st is the start of #AsianAmericanPacificIslanderHeritage month. ⁠
We here at #RacismIsAvirus want to ask all of our Friends and Allies to create a post.  Please watch the video for how to help! 
⁠
#RacismIsAVirus #HateisAVirus #IAmNotCOVID19 #BeCool2Asians https://t.co/gIHFJ0vkrA","2020-04-28T23:05:32.000Z","en"
"66","@dianephelan tells us how you can join the movement! May 1st is the start of #AsianPacificAmericanHeritage month. ⁠Let’s kickoff and celebrate #AAPI month with pride and solidarity.⁠ 

#RacismIsAVirus #HateisAVirus #IAmNotCOVID19 #BeCool2Asians⁠ #Asian #AsianAmerican https://t.co/S0x8J3WCNM","2020-04-28T22:42:20.000Z","en"
"67","May 1st is the start of #AsianAmericanPacificIslanderHeritage month. ⁠Let’s kickoff and celebrate #AAPI month with pride and solidarity.⁠  Watch th⁠e video for how to help! 

#RacismIsAVirus #HateisAVirus #IAmNotCOVID19 #BeCool2Asians⁠ https://t.co/eKNZpP7QKn","2020-04-27T14:31:45.000Z","en"
"68","Thank you #SanFrancisco mayor @LondonBreed for mentioning #racism and #xenophobia against #AsianAmericans on @FaceTheNation. #IAmNotCOVID19 #WashTheHate #RacismIsAVirus #HateIsAVirus #WashYourHands #PracticeSocialDistancing @KPIXtv","2020-04-26T16:19:42.000Z","en"
"69","@racismisavirus @ActToChange @VickyNguyenTV @TODAYshow Watched the whole thing. Asian Americans have to watch out for themselves - not only to prevent getting the disease but also protecting themselves from ignorant people full of hate. Thank you for bringing awareness. #IAmNotCOVID19","2020-04-25T21:20:49.000Z","en"
"70","“The pandemic is reminding us that our belonging is conditional. One moment we are Americans, the next we are all foreigners, who “brought” the virus here...”

Well said @JohnTheCho.

READ THIS! 👇🏼👇🏼👇🏼

#WashTheHate
#RacismIsAVirus 
#IAmNotCOVID19

https://t.co/q5Hsj9Kdso","2020-04-25T19:53:50.000Z","en"
"71","Troubling, disturbing and maddening.
“One Asian advocacy group said they’ve received more than 1,500 reports of COVID-related hate incidents since mid-January...”
#WashTheHate
#RacismIsAVirus 
#IAmNotCOVID19 https://t.co/PN75SRW7S8","2020-04-25T19:46:27.000Z","en"
"72","Thank you, @VickyNguyenTV and @TODAYshow.  This is an outstanding and very powerful piece of crucial journalism during this time. Please take a moment to watch the entire report at https://t.co/gXnVRZwCmC

#RacismIsAVirus #WASHTHEHATE #IAmNotCOVID19 https://t.co/p6uwdLRpnp","2020-04-25T16:15:07.000Z","en"
"73","ROCK STAR journalist @VickyNguyenTV brought the real to @todayshow and @NBCNewsNow yesterday! THANK YOU for your advocacy for the Asian and Asian American community. #RacismIsAVirus #UnapologeticallyAsian #HateIsAVirus #IamNOTCOVID19 https://t.co/xW3ugPEUpd","2020-04-25T15:24:07.000Z","en"
"74","THANK YOU to journalist @VickyNguyenTV for your reporting on @todayshow and @NBCNewsNow, featuring the rise of anti-Asian hate crimes amid the coronavirus. #RacismIsAVirus #WashTheHate #IAmNotCOVID19 #BeCool2Asians https://t.co/v8OBxgjOg5","2020-04-25T15:17:54.000Z","en"
"75","THANK YOU to ROCK STAR journalist @VickyNguyenTV, @nbcnewsnow, and @TODAYshow for your brilliant segment yesterday, and for the shoutout to the work @racismisavirus is doing with #RacismIsAVirus, along with #WashTheHate and #IAmNotCOVID19! https://t.co/4XU1WofNwX","2020-04-25T15:06:12.000Z","en"
"76","Let's come together and rise up against the hate. @danieldaekim @JohnTheCho thank you for lending your voices.
#WASHTHEHATE, #RacismIsAVirus, #IAmNotCOVID19
https://t.co/TtVx5crVpz","2020-04-24T17:23:36.000Z","en"
"77","Threats against Asian Americans are on the rise amid coronavirus crisis https://t.co/wB2cAYGWuE via @TODAYshow #ReportHate at https://t.co/ybNVLcZTqv #AAPI2020 #NoHate #NoAAPIHate #WashTheHate #AVirus #RacismIsAVirus #IamNotCOVID19","2020-04-24T16:29:12.000Z","en"
"78","#Racism against #Asians and #AsianAmericans like myself will never end... &amp; I'm #ChineseAmerican. #StopTheHate #WashTheHate #RacismIsAVirus #HateIsAVirus #IAmNotCOVID19 #WashYourHands #PracticeSocialDistancing #Coronavirus #CoronavirusPandemic #COVID19 https://t.co/hS24OvEPSc","2020-04-24T15:21:55.000Z","en"
"79","We can all stop the spread of Covid-19 and hate together.
#WASHTHEHATE #RacismIsAVirus #IAmNotCOVID19
https://t.co/JsFABFRRWJ","2020-04-24T13:33:34.000Z","en"
"80","#COVIDIOTS It’s time to stop the prejudice against the Asian culture... there have over 1,500 hate incidents since January 2020!!! Only 3 in 2019... perhaps it’s due to our idiot president!!! Standup against this hate crime!!! #Wastethehate #RacismIsAVirus #Iamnotcovid19","2020-04-24T12:35:44.000Z","en"
"81","@tylercortez_ @jimcramer Tyler, and for all who liked your post, I encourage every one to get educated on the hate crime Asian Americans have to endure right now due to a dumb naming of 'Chinese virus'! #RacismIsAVirus, ##IAmNotCOVID19.","2020-04-17T08:52:35.000Z","en"
"82","NBC's @VickyNguyenTV : 'It's All of Our Responsibilities' to Combat Coronavirus Racism #WashTheHate #RacismIsAVirus #IAmNotCovid19 https://t.co/7UoXst9GIZ","2020-04-16T22:36:56.000Z","en"
"83","⁦@UCLA_Law professor⁩ @ProfBainbridge wrote racist tweets about his Chinese students, blaming them for #coronavirus. This is disgusting and unacceptable.
⁦@jmnookin⁩ ⁦@reappropriate⁩ #NoAAPIHate #washthehate #RacismIsAVirus #iamnotcovid19 https://t.co/MAcZfrnzjS","2020-04-14T19:40:59.000Z","en"
"84","RT @NBCAsianAmerica: From #WashTheHate to #RacismIsAVirus to #IAmNotCOVID19, how Asian Americans are using social media to drown out bigotry. How to help https://t.co/ArXnt3RVLV","2020-04-12T15:55:10.000Z","en"
