"","text","created_at","lang"
"48","@MirrorFootball It's not just the corona virus outbreak, also the racists outbreak too. These seemingly unsuspecting casual racists are now free to use the virus as an excuse. No room for Racist? LMAO

#JeNeSuisPasUnVirus 
#IAmNotAVirus","2020-02-09T12:31:21.000Z","en"
"50","'We’re not viruses' petition launched in #Netherlands

#jenesuispasunvirus #ikbengeenvirus #iamnotavirus #Coronavirus

https://t.co/PdVWDclLoK","2020-02-09T12:27:12.000Z","en"
"52","@kan10EZ I have already signed the petition: 

#jenesuispasunvirus #ikbengeenvirus #iamnotavirus

The number is already 17.147. This petition started yesterday. https://t.co/Tv0eYcD315","2020-02-09T10:59:24.000Z","en"
"54","Wij zeggen nee tegen racisme tegen Chinese (en ook alle andere Aziatische) Nederlanders. Sign this petition to say No to racism under any name. #jenesuispasunvirus #ikbengeenvirus #iamnotavirus  https://t.co/TkIpfvL9yT","2020-02-09T09:19:59.000Z","en"
"56","https://t.co/VjrWUOoy9U
That would be funny, if...
#IAmNotAVirus","2020-02-09T08:07:04.000Z","en"
"58","#NosoyUnVirus on @Bonfire https://t.co/VAo6lsAcDm
There is a viral relay! Check this 15-day campaign out. WE ARE NOT A VIRUS! Wear and spread the words! #IMNOTAVIRUS#JeNeSuisPasUnVirus #IamNotAVirus
https://t.co/s8gKUmViLe","2020-02-09T06:55:02.000Z","en"
"69","""Something's Not Right Here Folks""​ | A Look at USA 2009 H1N1 Virus Compared to China 2020 Corona Virus. #coronaviruswuhan #IAmNotAVirus #NoSoyUnVirus
https://t.co/eZl4FSfOwj","2020-02-08T19:16:31.000Z","en"
"70","@yleuutiset thanks!
As a Public Health Emergency, NCP is a global issue but not just limited in China or Asia. People wearing masks are not just for themselves but also want others to be safe. Grab up Arrogance &amp; Ignorance. Stay with them and move forward. #IAmChina #IAmNotAVirus https://t.co/cOhFEBl5QZ","2020-02-08T17:28:29.000Z","en"
"71","Being called virus on the street today :D #imnotavirus #IAmNotAVirus . These things are really not stopping in this country.","2020-02-08T16:37:36.000Z","en"
"73","The 4th kiss: 💋
I got a kiss from a father while his daughter stood besides! This kiss looks so different!

The 4th kiss is from Alfred:
“ C’est la vie. ” ( This is life.)
#JeNeSuisPasUnVirus #paris #France #ichbinkeinvirus #NoSoyUnVirus #IAmNotAVirus #我不是病毒 #kiss #art https://t.co/TfeaQPZmWv","2020-02-08T14:00:37.000Z","en"
"74","#CoronavirusOutbreak 
#PrayForChina 
#IAmNotAVirus 
Stamp out #Racism https://t.co/VRHVaXUYz2","2020-02-08T13:50:41.000Z","en"
"77","“At this moment, in front of the novel #coronavirus, I am China!” Tobi, a German guy recorded a video calling on people show their empathy and compassion, instead of stigma. The video is published on the Wechat account of #German Embassy in China. #IAmNotAVirus https://t.co/4ckHTaGbUs","2020-02-08T12:45:16.000Z","en"
"80","This is the time for solidarity, not stigma. The novel #Coronavirus should not be called “#Wuhan Virus”. Its name is “Novel coronavirus pneumonia” (NCP)
#IAmNotAVirus https://t.co/8I6wzU5rcz","2020-02-08T10:39:00.000Z","en"
"81","recently in Dortmund i‘ve experiences something bad,only because of the asian look.
Being cautious is one thing, accusing all asians of infections and putting them under general suspicion is totally another.
#IAmNotAVirus https://t.co/wMt15OlALE","2020-02-08T10:36:46.000Z","en"
"82","Here’s Christina Zhu‘s absolutely stunning and moving visual art that depicts racism in Germany. It puts our everyday pain and doubt into images - how empowering, how healing. Thank you 🙏🏽💪🏽✊🏽 #Rassismus #ichbinkeinVirus #IAmNotAVirus #Asiansarehumans https://t.co/gjxdwVOLKn","2020-02-08T10:22:19.000Z","en"
"84","on the bridge in front of Eiffel Tower:
I felt someone is kissing me on my left cheek.Who’s that?

3rd kiss from Louisa: la vie est belle, life is beautiful.
#JeNeSuisPasUnVirus #ichbinkeinvirus #NoSoyUnVirus #我不是病毒 #IAmNotAVirus #art #eiffeltower #CoronaViruesue #china https://t.co/sWgxnkV9B4","2020-02-08T09:01:36.000Z","en"
"87","They were celebrating their 7th wedding anniversary in paris.
They told me that they have received a surprising gift .The 1st pair of kisses from couple:Carmen &amp; Viliam 
#JeNeSuisPasUnVirus #ichbinkeinVirus #NoSoyUnVirus #IAmNotAVirus #我不是病毒 #kiss #travel #paris #France https://t.co/oTp451tTno","2020-02-08T06:50:07.000Z","en"
"88","In the hot summer 2018, I made a trip to Europe…I never finished telling the whole story because I’m lazy, but now it’s the right time to continue.I first arrived in Paris.#JeNeSuisPasUnVirus #ichbinkeinvirus #NoSoyUnVirus #IAmNotAVirus #paris #France #travel #art https://t.co/rpPmejXrN4","2020-02-08T06:42:27.000Z","en"
"90","#我不是病毒 #NoSoyUnVirus  #JeNeSuisPasUnVirus 
#IAmNotAVirus  I am not a virus, I am not malicious, I am just an ordinary person https://t.co/WvphiD00pN","2020-02-08T03:31:26.000Z","en"
"94","The coronavirus outbreak is feeding another contagion around the world -- anti-Asian sentiment.
#iamnotavirus #coronavirus #JeNeSuisPasUnVirus
https://t.co/r8v4XoUhVB","2020-02-07T23:11:57.000Z","en"
"96","@LiyaYuBerlin Lunch today in an Asian restaurant in #Paris. Regulars keep coming as usual. Can only sympathize with restaurant owners... Take heart!

#ichbinkeinvirus #IAmNotAVirus #JeNeSuisPasUnVirus #我不是病毒 https://t.co/8IrFsU1pcG","2020-02-07T22:28:52.000Z","en"
"98","PSA: If I cough and I'm Asian that doesn't mean I have coronavirus.

It could just mean that some soda I was drinking accidentally went down the wrong way.

#IAmNotAVirus","2020-02-07T20:13:42.000Z","en"
"99","East Asians and Southeast Asians right now:

#IAmNotAVirus #ichbinkeinvirus #JeNeSuisPasUnVirus #AsianStruggles https://t.co/EFPLu7KmdJ","2020-02-07T19:59:33.000Z","en"
"100","#IAmNotAVirus: The internet is fighting rising anti-Chinese sentiment over the #coronavirus outbreak. https://t.co/QJzbyhJThw","2020-02-07T19:18:22.000Z","en"
"101","#IAmNotAVirus: The internet is fighting rising anti-Chinese sentiment over the #coronavirus outbreak. https://t.co/wmeyFRH1uw","2020-02-07T19:03:00.000Z","en"
"102","When Chineese government hurts Uygur Türks  chineese people say nothing about racism.But now they say stop racisim against chineese .What a shame  #IAmNotAVirus","2020-02-07T18:13:37.000Z","en"
"105","Coronavirus:Researchers at the South China Agricultural University have identified the scaly mammal as a ""potential intermediate host"", the university said in a statement, without providing further details.
Source:https://t.co/RkRDJt81wE
#IAmNotAVirus.
#JeNeSuisPasUnVirus https://t.co/STOPuXXNKV","2020-02-07T17:04:07.000Z","en"
"110","Important and timely. Great to see the topic of culturally responsive care addressed. This is especially important given recent rise of race related biases around the #Coronavius and the community response #IAmNotAVirus @MGHRadDiversity @AnandKNarayan @DaniaDaye @JimBrinkMD https://t.co/lUewHE9f4b","2020-02-07T15:46:28.000Z","en"
"112","This shows the level of anxiety in Phuket, a beach restaurant at Ao Sane #Phuket placed these all down the road. At any other time I would think it racist (as in #IAmNotAVirus), but people they were genuinely scared right now https://t.co/OqrxCIRllS","2020-02-07T15:03:22.000Z","en"
"113","#IAmNotAVirus then dont act like a virus https://t.co/dLuWvTqN7Y","2020-02-07T14:42:58.000Z","en"
"116","The latest LaaS Location-as-a-Service! https://t.co/6rnrIql3mv Thanks to @maggiekb1 #coronavirus #iamnotavirus","2020-02-07T14:13:54.000Z","en"
"117","#IAMNOTAVIRUS  on @Bonfire https://t.co/m5ZF3hif5Y
There is a viral relay! Check this 15-day campaign out. WE ARE NOT A VIRUS! Wear and spread the words! #IMNOTAVIRUS#JeNeSuisPasUnVirus #IamNotAVirus
https://t.co/s8gKUmViLe","2020-02-07T12:34:01.000Z","en"
"121","@Farachakabil There is a viral relay! Check this 15-day campaign out. WE ARE NOT A VIRUS! Wear and spread the words! #IMNOTAVIRUS#JeNeSuisPasUnVirus #IamNotAVirus
https://t.co/s8gKUmViLe","2020-02-07T11:52:24.000Z","en"
"122","There is a viral relay! Check this 15-day campaign out. WE ARE NOT A VIRUS! Wear and spread the words! #IMNOTAVIRUS#JeNeSuisPasUnVirus #IamNotAVirus
https://t.co/s8gKUmViLe https://t.co/1Nno9duYRO","2020-02-07T11:51:46.000Z","en"
"123","Seen in #Istanbul #Turkey: The LED writing on this man's back pack says: ""I am not Chinese. I am from Taiwan"", and: ""I would die for you, Turkey"" (a reference to an old Turkish song). Fear, humor - or both? #IAmNotAVirus https://t.co/vrhAH1oDDO","2020-02-07T11:33:37.000Z","en"
"124","Lieber Gerd, you’ve got to stop being such a supportive follower, always reminding this #feistyAsiangirl of her achievements😉😘

Link to my 2017 Columbia Speech below, because the words in there might be healing today for #ichbinkeinvirus #IAmNotAVirus https://t.co/yxOkFzv5qZ https://t.co/zPutmcMC7B","2020-02-07T11:00:06.000Z","en"
"132","Bias caused by novel coronavirus sparks anger among overseas Chinese #IAmNotAVirus  https://t.co/NOswYWCAF1","2020-02-07T08:00:00.000Z","en"
"133","Dear People of China! People just scared of #coronavirus not of you. Stay strong like the terra-cotta army! @world Don’t give #Racism a chance, support #Chinas people! #noracism #IAmNotAVirus #ChinaCoronaVirus #chinastaystrong @sat1 https://t.co/MVE9qTjmZ9","2020-02-07T05:17:17.000Z","en"
"134","#IamNotAVirus: from ""Wuhan Pneumonia"" to Anti-Chinese Sentiment - https://t.co/kAxH3l1HKZ.  I hope this article on #coronavirus will inspire some candid discussions about our shared fear &amp; aspiration for solidarity that transcends racial boundaries. https://t.co/VSUyxm7XAz","2020-02-07T03:56:16.000Z","en"
"137","#IamNotAVirus: from ""Wuhan Pneumonia"" to Anti-Chinese Sentiment - https://t.co/NeKJa1UFLO - via @CapitalWatchCom https://t.co/YsJcJa1mNm","2020-02-07T01:59:21.000Z","en"
"143","ITV have been kind enough to report on this too. My interview here -- https://t.co/urUBvJ1Lbj

#IAmNotAVirus","2020-02-06T22:34:17.000Z","en"
"144","As someone with an autoimmune disease taking medications to suppress my immune system, I need to wear a mask in enclosed spaces to protect myself from even a common cold or flu. I am very worried about taking my flight tomorrow. #IAmNotAVirus https://t.co/ejn5ZGjXj6","2020-02-06T22:04:47.000Z","en"
"148","We must remember that disease outbreaks have no reason to spread racism and xenophobia.  
#corononavirus
#IAmNotAVirus","2020-02-06T20:44:39.000Z","en"
"149","Love over hate anytime of the day. 
Stop discrimination and racism, love and empathy is what we need in the world right now. 
#corononavirus #coronavirus #IAmNotAVirus #JeNeSuisPasUnVirus","2020-02-06T20:34:12.000Z","en"
"150","But then. We are all the same, we live in this planet together. Brothers and sisters in a way, why are we spreading hatred when it’s truly the last thing that is needed in this world wide epidemic. Love and support, kindness and empathy. #JeNeSuisPasUnVirus #IAmNotAVirus","2020-02-06T20:32:29.000Z","en"
