"","text","created_at","lang"
"36","Many props to #StarTrekUnitedGives for supporting #BlackLivesMatter

Please look at these hashtags too:
#RacismIsAVirus 
#becool2asians
#stopAAPIhate 
#washthehate","2020-06-17T12:23:02.000Z","en"
"37","@HopClear @van576314799752 How badass does this jackass feel for fighting in a beauty supply store? Is this more of the ""spirit of #OGUN""?

#becool2asians
#racismisavirus 
#stopAAPIhate","2020-06-17T03:32:38.000Z","en"
"38","@valwchow + #becool2asians campaign is honored to be a 2020 recipient of the Roddenberry Foundation Impact Awareness Award. We are committed to promoting the kind of outreach, solidarity and diversity that #Startrek is founded upon! Thank you @RoddenberryFdn https://t.co/yVfkgRiW2m","2020-06-16T21:52:23.000Z","en"
"39","Hi @7eleven @7ElevenCanada @7ElevenHawaii @7ElevenAus #7eleven
This will happen more and more in your stores worldwide as time goes on. It's time for you to think about where you stand and what you're going to do about it.

#becool2asians 
#stopAAPIhate 
#RacismIsAVirus https://t.co/6f0nCAXjLe","2020-06-16T05:46:47.000Z","en"
"40","For my Asian American friends 🖤 #IAMNOTAVIRUS #BeCool2Asians #Racismisavirus #WashTheHate https://t.co/6EXiUzj2wf","2020-06-04T02:19:15.000Z","en"
"42","Reply with the questions you have for our panelists.

#BlackLivesMatter #WashTheHate #IAmNotAVirus #RacismIsAVirus #BeCool2Asians #ForcedTrajectoryProject","2020-06-03T14:44:32.000Z","en"
"43","SAVE THE DATE JUNE 4! #Getinvolved #support our brothers and sisters because THEY ALL ARE OUR BROTHERS AND SISTERS!  We are all in this fight together! #endracism #solidarity #Justiceforahmaud #justiceforgeorgefloyd #asianhatecrimes #iamnotavirus #racismisavirus #becool2asians. https://t.co/7RyeuNSLZy","2020-06-02T14:00:51.000Z","en"
"44","Panel this Thursday on how Asian American can participate and support Black, Brown, and Native communities #IAMNOTAVIRUS #BeCool2Asians #RacismIsAVirus #BlackLivesMatter #allyship #AsiansForBlackLives @RocktheboatNYC https://t.co/KMgMa4bMlL","2020-06-01T21:16:00.000Z","en"
"45","Our responsibility as #storytellers to be honest, transparent &amp; sympathetic; on other hand, what do we look forward to, where does the fear play into the greater narrative &amp; how should we be sharing this narrative? @JiayangFan @riseapaorg #RacismIsAVirus #becool2asians #riseapa","2020-05-31T03:28:17.000Z","en"
"46","@BrentTerhune TBH, I thought I was going to get angrier when I came across this video, instead I'm saying, ""On behalf of #AsianAmericans, thank you Brent.""

#stopAAPIhate
#washthehate
#becool2asians
#Iamnotavirus
#RacismIsAVirus 
#AllAmericans
#AAPIHM 
#AsianHeritageMonth 
#riseabovehate","2020-05-30T17:58:19.000Z","en"
"47","We will kneel with our Black and Brown brothers and sisters. #BlackLivesMatter #JusticeForGeorgeFloyd #GeorgeFloyd #becool2asians #RacismIsAVirus #Hateisavirus #iamnotavirus #washthehate https://t.co/0ov7OIEk8b","2020-05-29T14:45:02.000Z","en"
"48","tf is wrong with people? 

#UnapologeticallyAsian 
#RacismIsAVirus 
#WashtheHate 
#BeCool2Asians 
#IAmNotAVirus https://t.co/HoZordRfPn","2020-05-28T23:35:46.000Z","en"
"49","We stand with our Black and Brown Brother and Sisters against institutionalized racism. Wrongful Deaths like George Floyd should never be normalized. #becool2asians #BlackLivesMatter #JusticeForGeorgeFloyd #GeorgeFloyd #IamNotAVirus #racismisavirus #washthehate https://t.co/YgYeURVSg0","2020-05-28T01:13:08.000Z","en"
"50","It's been just over a month since John Cho wrote his op-ed for the LA Times. His words still resonate as we continue to #WashTheHate.

#hateisavirus #iamnotavirus #becool2asians #APAHM https://t.co/Yw6sIRZsei","2020-05-27T05:57:01.000Z","en"
"51","It's been just over a month since @JohnTheCho wrote his op-ed for the @latimes. His words still resonate as we continue to #WashTheHate.

#hateisavirus #iamnotavirus #becool2asians #APAHM https://t.co/N37kZHIkOv","2020-05-26T19:12:28.000Z","en"
"52","#COVID is disproportionately affecting people of color - from higher death rates for Black + Brown to the rise in Hate against Asian Americans. Check your privilege and wear a mask! #becool2asians #MaskUp https://t.co/GdqC76lGUe","2020-05-24T22:05:22.000Z","en"
"53","Thank you @Elaine_Quijano for spotlighting this issue and advocating for unity and solidarity. 💙 #WashTheHate

#hateisavirus #iamnotavirus #becool2asians #APAHM https://t.co/ufMM2x2Awj","2020-05-24T21:00:00.000Z","en"
"55","@nydia_han #ThisIsAmerica 
#becool2asians 
#RacismIsAVirus 
I'm sorry anyone has to go through this","2020-05-22T22:22:04.000Z","en"
"56","This #APAHM and beyond, let's uplift our communities and work toward unity. We are all in this together. This is one world we share. 💙

#hateisavirus #iamnotavirus #becool2asians #APAHM https://t.co/vy7EXFWEJU","2020-05-22T21:03:23.000Z","en"
"57","“I am not a virus. I am a political artist, a competitive athlete and a phenomenal nerd.” 
-Min from @asianfemifesto 

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/h9OzmTGpI2","2020-05-20T19:28:56.000Z","en"
"58","“I am not a virus. I am an advocate, I am a student, and I am a proud Chinese adoptee.” - Abbegael 

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/SeisCw0LlB","2020-05-20T13:57:44.000Z","en"
"59","@mellow_chellow @AOC Or even U.S. born #AsianAmerican citizens? Or 2nd and 3rd generation Asian Americans? Or even #NativeAmericans? God knows people like this smiling jackass can't tell the difference between any of us.

#becool2asians
#becooltoasians
#iamnotavirus
#racismisavirus","2020-05-19T10:24:58.000Z","en"
"60","“I am not a virus. I am a son, friend and bodybuilder. But most importantly, I am American.” - Nate

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/VNWxLnlb12","2020-05-18T22:35:57.000Z","en"
"61","Thank you Danielle for sharing your thoughts with #WashTheHate. 💙

We’re in this together. You have a community behind you. #hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM https://t.co/beFWLyKhKC","2020-05-18T19:53:51.000Z","en"
"63","Thank you John for sharing your thoughts with #WashTheHate. 💙

We’re in this together. You have a community behind you. #hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM https://t.co/lUkr5GSLUF","2020-05-16T19:00:00.000Z","en"
"64","“I am not a virus. I am a radical queer artist. I am a fifth generation American. I am imagining a better future.” - Rowan 

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/45UBigSaD2","2020-05-15T19:05:33.000Z","en"
"65","Thank you Anonymous for sharing your thoughts with #WashTheHate. 💙

We’re in this together. You have a community behind you. #hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM https://t.co/TuhzShvZYL","2020-05-14T22:53:08.000Z","en"
"66","#coronavirus is racialized. A disproportionate # of our Black and Brown brothers and sisters are dying, Asian Americans are the scapegoated targets of COVID Hate, Armed White Suprmacists are “protesting” wearing masks #BlackLivesMatter #becool2asians https://t.co/YyiolCohAt","2020-05-14T03:34:23.000Z","en"
"67","JOIN IN AT 130pm PST.

#WashTheHate
#HateIsAVirus
#RacismisaVirus
#becool2asians
#MakeNoiseToday
#UnapologeticallyAsian

NBC News To Host Virtual Town Hall On Anti-Asian Sentiment During COVID-19 – Deadline https://t.co/M24oLmm3qy","2020-05-13T19:30:45.000Z","en"
"69","@realDonaldTrump As of now, 153K likes? Wow... I wonder how many of them are #AsianAmerican. A question for the 153K people who liked this tweet; do you #finally agree that #AsianAmericans aren't to blame for #COVID19 ? 

#stopaapihate 
#becool2asians 
#riseabovehate 
#washthehate 
#allamericans","2020-05-12T22:33:53.000Z","en"
"70","With social distancing being relaxed, the rise of racism against Asian and Asian Americans continues to climb. Please know that there is a community and allies that are here to help you.

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians #IAmAnAlly https://t.co/m9SUZiiOmA","2020-05-12T22:29:49.000Z","en"
"71","""We are all going through difficult times, facing new challenges day to day."" - Millersville University Intercultural Center 💙 #WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM https://t.co/XFfnusQpeV","2020-05-12T19:02:02.000Z","en"
"72","“We are not a virus. We are a diverse family. A business owner, a doctor, and  three happy, healthy Asian American children. We are what made America great in the first place.”

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/KlldM4gS4G","2020-05-12T16:52:59.000Z","en"
"74","""To displace your fears on Asian Americans is both unfair and unjust."" - @bluechodesign 💙 #WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM https://t.co/TdtNLDIWeg","2020-05-10T21:00:00.000Z","en"
"75","“I am not a virus. I am a student, a dog mom, and a future surgeon.”
-Soriya | USA | South Korea

#IamNotAVirus  #hateisavirus  #washthehate  #RacismIsAVirus  #becool2asians https://t.co/LpbdjFBVRW","2020-05-09T22:44:03.000Z","en"
"78","#asian #becool2asians #Racisme #vancouver #WANTED #Jenesuispasunvirus
Vancouver Police seek assault suspect.
Please share information. https://t.co/AtKI59x1AR","2020-05-09T10:31:06.000Z","en"
"79","Frontline workers and communities of color are disproportionately affected by #COVID Wearing a mask is not “oppression” - refusing to wear one is oppressing our collective right to public health and safety #becool2asians https://t.co/ZxHmlqZetm","2020-05-09T02:28:48.000Z","en"
"80","""Next time a hateful thought occurs in your mind, think about what it would feel like if you were on the receiving end of that."" - actress and filmmaker @stellavelonpunk 💙 #WashTheHate

#hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM https://t.co/Bq62qddeSy","2020-05-08T22:32:13.000Z","en"
"81","We’re in this together. You have a community behind you. #hateisavirus #racismisavirus #iamnotavirus #becool2asians #APAHM","2020-05-07T18:53:57.000Z","en"
"82","African Americans are disproportionately dying from COVID + regularly murdered just for being black. Where is the justice?! We stand w/our black and brown brothers and sisters in our fight against hate. #JusticeForAhmaud #BlackLivesMatter #becool2asians https://t.co/ItV4YQQGKr","2020-05-07T02:16:08.000Z","en"
