"","text","created_at","lang"
"30","An inspiring story of a #Sikh man and how he overcame #bullying and started to embrace his culture.

#ActToChange #StopBullying

https://t.co/7E2a6xbek0 https://t.co/zynig9bKVD","2020-02-12T19:02:10.000Z","en"
"31","I pledged to stand up against bullying. Join me in the #ActToChange movement https://t.co/GpBvt6FIjF via @acttochange","2020-02-12T16:31:18.000Z","en"
"32","Watch this amazing video by the @AdCouncil's @becauseofyou campaign.

#BecauseOfYou, someone's life can be changed for the better.

#ActToChange #StopBullying

https://t.co/70Fn9yVSHh","2020-02-10T18:40:14.000Z","en"
"33",".@KIPPColorado has found a comprehensive solution to all forms of #bullying.

An inspiring story by @NoBully_org.

#ActToChange #StopBullying

https://t.co/RzJ3C9hzzW","2020-02-10T16:01:27.000Z","en"
"34","One little act can have a long lasting and beautiful effect.

Choose your words and your actions wisely.

#ActToChange #StopBullying

https://t.co/Rd9UZ0xOWU","2020-02-09T20:01:09.000Z","en"
"35","We love this cool mosaic wall of photos submitted by participants of the #ShredHate #Bullying prevention program ❤️

@ESPNCitizenship @MLB @XGames #ActToChange 

https://t.co/aUewRciUpA","2020-02-09T17:01:23.000Z","en"
"36","A Message from the Future: Because of you, someone's entire life can change.

A beautiful message from the @AdCouncil about teenage #bullying and it's long lasting effect.

#ActToChange #StopBullying

https://t.co/WfWyd4UR3m","2020-02-07T19:01:00.000Z","en"
"37","Get the whole story and take action without playing the blame game.

#EndBullying #ActToChange

https://t.co/mJJ2QM1DCL","2020-02-06T18:15:17.000Z","en"
"38","A new literacy campaign by @tumblr is helping to combat #misinformation and #cyberbullying 👏

#ActToChange #StopBullying

https://t.co/h5xi7672xo","2020-02-06T15:01:06.000Z","en"
"39","#Cyberbullying is a big problem among #AAPIYouth but digital #technology can also be used a solution to the problem of student #MentalHealth.

#ActToChange

https://t.co/qwMhbuuy6N https://t.co/qlN7rh1cE5","2020-02-05T18:00:44.000Z","en"
"40","If you see something, SAY something.

Don't just stand by - STAND UP against #bullying.

#ActToChange #AAPIYouth https://t.co/GjFlxAeeAE","2020-02-04T17:03:01.000Z","en"
"41","Today is #ThankYourMentor Day! Are there any people in your lives who have helped you navigate through tough times?

Take a moment to thank them today ❤️

#ActToChange #NationalMentoringMonth

@MENTORnational https://t.co/pTRpAaoNfA","2020-01-30T17:01:49.000Z","en"
"42","In the current political climate, issues of race and discrimination are more likely to harm our kids.

Remember to be proud of your background and your differences ❤️

#ActToChange #AAPIYouth https://t.co/aEMEPd5IgN","2020-01-29T16:02:22.000Z","en"
"43","Victims of #bullying may often face anxiety and depression. @BBCNews talked to some experts about how #Youth can deal with these issues.

#AAPIYouth #ActToChange #StopBullying

https://t.co/OKwLOMBmkv","2020-01-28T17:02:00.000Z","en"
"44","Jaskanwal Singh, a #Sikh man living in Tornoto, shares his story of overcoming #Bullying and embracing his #RacialIdentity.

#AAPIYouth #ActToChange #AAPI

https://t.co/0UWlN0qzXw","2020-01-27T18:01:49.000Z","en"
"45","Half of #AsianAmerican kids are victims of #Bullying. If you are a victim, remember that you are not alone. Speak to an adult and check out the #ActToChange resources here 👇

https://t.co/h0XrEqlaWb https://t.co/ETiaM1192a","2020-01-27T16:02:14.000Z","en"
"46","A majority of kids are victims of #bulling in school, but bullying can occur even in the workplace. 

No matter who or where you are, don't be afraid to speak out. Together we can #StopBullying.

#ActToChange

https://t.co/Ea5OO0jhtk","2020-01-24T20:01:15.000Z","en"
"47","Mentors can have a long-lasting and powerful effect on #youth.

#AAPIYouth #NationalMentoringMonth #ActToChange

https://t.co/1yJx6jBju0","2020-01-24T18:01:21.000Z","en"
"48","It's never too late to find someone who could use your help and become their #mentor.

#NationalMentoringMonth #ActToChange

https://t.co/PqF6Uuiwpu","2020-01-24T15:01:23.000Z","en"
