"","text","created_at","lang"
"45","I experienced a lot of racism growing up.Those kids r now  t/grownups in t/world.I wish I cld say things have improved 4 Asian-Americans as we started seeing people who look like us in t/media &amp; entertainment worlds. Sadly,not much has changed #WashTheHate
https://t.co/roRBel6Hvj","2020-03-21T21:29:12.000Z","en"
"47","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears | GMA https://t.co/ezYF53OdKM","2020-03-21T21:21:29.000Z","en"
"48","""Hate will get you sick even if the virus does not"".

#WashTheHate #ActToChange https://t.co/SXTZD2oMdI","2020-03-21T21:10:39.000Z","en"
"51","Watch @kathoung's story of facing #bullying in the classroom due to #coronavirus minsinformation.

Her simple message: ""The disease doesn't discriminate in the way that people do. It's important that people stay informed on how to stay safe."" #WashTheHate

https://t.co/aypgKDXgWz","2020-03-21T21:00:09.000Z","en"
"55","@NPR @hereandnow #VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate
Really you don't say.....","2020-03-21T20:57:34.000Z","en"
"56","@realDonaldTrump Just stop. You have caused enough deaths. 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:55:07.000Z","en"
"59","@CAPAction Please vote as if your life depends on it.
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:40:35.000Z","en"
"61","@maddow Battle on...
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:38:11.000Z","en"
"62","@scontorno And where is Texas? 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:37:36.000Z","en"
"63","PSA: The #COVID19 virus, or any virus for that matter, does not stem from, or directly target, a racial group of people.

Viruses and diseases do not discriminate, only people do.

#WashTheHate

https://t.co/7ngtM9N2ds","2020-03-21T20:37:23.000Z","en"
"64","So fresh and so clean clean!😝
#Repost @kikifunnymama with @get_repost
・・・
Join us and #washthehate 🤲💦washthehate
#coronavirus #corinavirusracism https://t.co/IP8UctlUFq","2020-03-21T20:35:14.000Z","en"
"65","@NYGovCuomo Stop the spread! 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:34:17.000Z","en"
"66","@NYGovCuomo Thank you for your leadership. 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:33:18.000Z","en"
"67","@NYCMayorsOffice @NYCCHR Thank you for your leadership. 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T20:32:02.000Z","en"
